Date,Symbol,Close
2021-02-12,^IXIC,14095.4697265625
2021-02-16,^IXIC,14047.5
2021-02-17,^IXIC,13965.490234375
2021-02-18,^IXIC,13865.3603515625
2021-02-19,^IXIC,13874.4599609375
2021-02-22,^IXIC,13533.0498046875
2021-02-23,^IXIC,13465.2001953125
2021-02-24,^IXIC,13597.9697265625
2021-02-25,^IXIC,13119.4296875
2021-02-26,^IXIC,13192.349609375
2021-03-01,^IXIC,13588.830078125
2021-03-02,^IXIC,13358.7900390625
2021-03-03,^IXIC,12997.75
2021-03-04,^IXIC,12723.4697265625
2021-03-05,^IXIC,12920.150390625
2021-03-08,^IXIC,12609.16015625
2021-03-09,^IXIC,13073.8203125
2021-03-10,^IXIC,13068.830078125
2021-03-11,^IXIC,13398.669921875
2021-03-12,^IXIC,13319.8603515625
2021-03-15,^IXIC,13459.7099609375
2021-03-16,^IXIC,13471.5703125
2021-03-17,^IXIC,13525.2001953125
2021-03-18,^IXIC,13116.169921875
2021-03-19,^IXIC,13215.240234375
2021-03-22,^IXIC,13377.5400390625
2021-03-23,^IXIC,13227.7001953125
2021-03-24,^IXIC,12961.8896484375
2021-03-25,^IXIC,12977.6796875
2021-03-26,^IXIC,13138.73046875
2021-03-29,^IXIC,13059.650390625
2021-03-30,^IXIC,13045.3896484375
2021-03-31,^IXIC,13246.8701171875
2021-04-01,^IXIC,13480.1103515625
2021-04-05,^IXIC,13705.58984375
2021-04-06,^IXIC,13698.3798828125
2021-04-07,^IXIC,13688.83984375
2021-04-08,^IXIC,13829.3095703125
2021-04-09,^IXIC,13900.1904296875
2021-04-12,^IXIC,13850.0
2021-04-13,^IXIC,13996.099609375
2021-04-14,^IXIC,13857.83984375
2021-04-15,^IXIC,14038.759765625
2021-04-16,^IXIC,14052.33984375
2021-04-19,^IXIC,13914.76953125
2021-04-20,^IXIC,13786.26953125
2021-04-21,^IXIC,13950.2197265625
2021-04-22,^IXIC,13818.41015625
2021-04-23,^IXIC,14016.8095703125
2021-04-26,^IXIC,14138.7802734375
2021-04-27,^IXIC,14090.2197265625
2021-04-28,^IXIC,14051.0302734375
2021-04-29,^IXIC,14082.5498046875
2021-04-30,^IXIC,13962.6796875
2021-05-03,^IXIC,13895.1201171875
2021-05-04,^IXIC,13633.5
2021-05-05,^IXIC,13582.419921875
2021-05-06,^IXIC,13632.83984375
2021-05-07,^IXIC,13752.240234375
2021-05-10,^IXIC,13401.8603515625
2021-05-11,^IXIC,13389.4296875
2021-05-12,^IXIC,13031.6796875
2021-05-13,^IXIC,13124.990234375
2021-05-14,^IXIC,13429.98046875
2021-05-17,^IXIC,13379.0498046875
2021-05-18,^IXIC,13303.6396484375
2021-05-19,^IXIC,13299.740234375
2021-05-20,^IXIC,13535.740234375
2021-05-21,^IXIC,13470.990234375
2021-05-24,^IXIC,13661.169921875
2021-05-25,^IXIC,13657.169921875
2021-05-26,^IXIC,13738.0
2021-05-27,^IXIC,13736.2802734375
2021-05-28,^IXIC,13748.740234375
2021-06-01,^IXIC,13736.48046875
2021-06-02,^IXIC,13756.330078125
2021-06-03,^IXIC,13614.509765625
2021-06-04,^IXIC,13814.490234375
2021-06-07,^IXIC,13881.7197265625
2021-06-08,^IXIC,13924.91015625
2021-06-09,^IXIC,13911.75
2021-06-10,^IXIC,14020.330078125
2021-06-11,^IXIC,14069.419921875
2021-06-14,^IXIC,14174.1396484375
2021-06-15,^IXIC,14072.8603515625
2021-06-16,^IXIC,14039.6796875
2021-06-17,^IXIC,14161.349609375
2021-06-18,^IXIC,14030.3798828125
2021-06-21,^IXIC,14141.48046875
2021-06-22,^IXIC,14253.26953125
